ctry,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,s,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,J,f,m,a,m,j,j,a,s,o,n,d,J,f,m,a,m,j,j,a,s,o,n,d,J,f,m,a,m,j,j,a,s,o,n,d,J,f,m,a,m,j,j,a,s,o,n,d,J,f,m,a,m,j,j,a,s,o,n,d,J,f,m,a,m,j,j,a,s,
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,5,3,4,4,12,12,6,6,10,6,6,4,6,2,6,9,11,5,3,3,8,2,2,5,4,0,0,3,2,9,2,5,8,4,3,8,6,1,7,3,8,13,6,5,10,9,11,13,11,5,15,23,8,15,19,19,7,7,6,10,12,15,17,36,39,29,26,16,24,55,22,43,22,6,11,26,27,9,8,7,12,5,7,11,13,5,7,5,11,6,2,3,8,3,5,6,78,78,125,78,71,50,4,3,8,9,5,7,23
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,4,3,3,0,2,1,6,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,4,1,1,3,3,3,3,2,3,1,6,1,1,3,3,1,1,3,3,2,8,3,5,3,1,7,7,6,10,5,5,9,2,2,1,5,2,5,8,0,0,0,0,0,0,0,2,12,6,12,11,5,1,6,12,2,7,0,0,0,1,0,0,3
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,6,2,5,2,0,6,1,2,3,3,2,0,0,0,0,3,0,0,1,1,4,5,3,1,0,1,2,1,1,0,0,2,3,3,1,2,2,2,4,5,1,1,2,1,2,1,0,2,1,0,0,0,1,0,2,5,0,0,1,0,1,2,2,0,0,1,3,0,1,1,0,0,2,1,1,4,1,3,0,4,1,2,1,3,2,4,2,4,4,7,4,2,2,5,5,4,2,3,10,9,6,4,7,8,5,2,6,3,2,3,5,1,2,5,1,5,5,9,11,10,14,12,7,6,12,13,11,5,9,7,11,15,6,6,10,7,14,11,16,9,13,23,23,13,11,15,9,18,15,15,21,4,13,5,1,2,2,3,1,5,7,10
Lebanon,0,0,0,1,1,2,1,2,0,0,2,2,0,2,3,0,0,1,2,2,3,3,0,1,1,2,4,2,3,0,2,1,1,3,4,2,3,4,11,4,4,5,3,6,7,8,12,8,8,3,4,12,7,5,8,8,10,17,7,4,3,7,13,7,8,10,28,18,24,24,25,31,25,11,14,11,11,16,6,12,8,19,11,15,8,7,6,11,19,28,20,8,6,12,12,6,1,3,5,1,3,10,3,4,4,1,7,3,8,2,9,7,4,3,3,5,5,6,10,5,7,6,7,5,3,5,6,3,7,3,11,9,7,5,4,4,10,8,8,7,9,6,11,12,6,8,4,12,6,3,8,4,15,8,18,12,9,5,15,10,11,17,16,4,5,14,16,12,4,6,6,9,9,11,8,7,7,20,15,15,10,11,16,14,11,17,22,15,11,17,13,10,13,12,14,5,4,5,1,0,3,6,3,4,1,3,2,1,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,29,6,10,9,9,10,7,2,7,5,8,14,15,7,4,9,14,4,32,15,9,20,10,6,5,2,4,8,8,2,7,5,1,4,0,4,8,1,0,3,9,6,3,2,0,7,2,2,5,1,2,1,5,3,8,6,0,2,2,3,0,3,1,4,5,3,0,1,1,1,4,2,5,4,2,8,1,9,2,1,1,3,3,6,3,0,0,2,4,4,3,2,1,2,2,2,2,1,2,3,4,1,5,3,4,4,5,2,3,2,1,4,3,5,3,4,5,3,5,2,7,7,2,3,3,1,2,2,4,3,5,3,4,8,4,6,5,15,2,3,3,2,0,1,5,1,1,3,2,4,5,2,3,6,6,2,4,2,3,9,9,18,11,5,8,16,7,6,11,9,10,2,2,10,4,8,4,16,8,13,5,11,7,14,12,11,17,9,6,3,5,11,10,12
Israel,0,1,2,0,0,4,1,1,1,0,5,2,2,6,1,5,5,4,2,5,1,7,1,8,2,6,1,5,5,4,2,5,1,7,1,8,7,9,6,5,3,9,18,10,8,22,19,23,14,9,8,17,23,16,16,6,8,13,10,10,7,15,10,12,6,5,4,3,11,16,17,30,10,12,6,9,7,14,14,7,13,12,21,11,10,5,9,5,3,8,12,5,4,5,8,11,11,4,8,8,8,9,6,3,0,4,10,8,9,3,6,9,11,10,4,4,6,10,8,6,6,4,4,2,1,0,2,2,9,5,3,9,2,4,4,3,2,4,6,4,1,8,3,33,6,6,7,6,4,4,7,7,9,3,18,9,9,5,4,8,10,13,10,7,11,6,8,2,7,5,6,8,5,5,2,2,1,8,7,6,5,5,3,9,7,7,13,6,8,14,13,16,6,9,2,0,2,1,3,4,8,11,18,12,17,9,12,11,5,15,16,2,4,27,67,31,21,18,15,17,20,24,21,24,26,21,47,17,23,12,15,25,32,29,33,21,24,13,12,23,20,11,19,5,11,11,7
Combined,0,1,2,1,1,6,2,3,1,0,7,4,2,8,4,5,5,5,4,7,4,10,1,9,3,8,5,7,8,4,4,6,2,10,5,10,10,13,17,9,7,14,21,16,15,30,31,31,22,12,12,29,72,50,30,24,27,39,27,21,12,29,28,27,28,30,39,25,44,54,46,93,50,32,40,30,24,35,22,23,29,39,34,43,40,19,21,21,28,44,39,14,15,29,29,22,14,7,20,11,16,24,10,10,6,14,25,22,24,5,18,20,19,14,10,10,17,24,24,12,16,13,14,15,11,11,13,9,25,11,24,20,12,11,11,15,25,22,19,16,21,22,30,61,20,22,25,28,18,13,23,18,33,31,56,34,28,22,35,26,31,40,41,14,25,28,34,29,21,24,27,28,23,35,30,16,20,36,36,41,28,28,38,51,42,48,61,40,51,67,53,52,45,51,29,18,17,26,23,22,39,63,75,69,59,50,59,81,42,83,60,33,36,77,128,64,51,40,54,41,45,68,54,55,44,41,91,50,46,32,66,51,80,66,142,128,173,128,101,98,35,22,33,21,32,35,55
